시도,시군구,연료별,용도별,승용,승합,화물,특수,계
강원,강릉시,전기,비사업용,1967,16,1023,4,3010
강원,강릉시,전기,사업용,503,61,77,20,661
강원,고성군,전기,비사업용,173,0,158,1,332
강원,고성군,전기,사업용,14,0,18,0,32
강원,동해시,전기,비사업용,527,2,212,2,743
강원,동해시,전기,사업용,87,0,42,0,129
강원,삼척시,전기,비사업용,490,0,178,1,669
강원,삼척시,전기,사업용,24,6,30,0,60
강원,속초시,전기,비사업용,508,11,195,0,714
강원,속초시,전기,사업용,136,8,29,0,173
강원,양구군,전기,비사업용,165,1,137,1,304
강원,양구군,전기,사업용,18,0,14,0,32
강원,양양군,전기,비사업용,206,0,103,0,309
강원,양양군,전기,사업용,39,0,11,0,50
강원,영월군,전기,비사업용,197,0,148,1,346
강원,영월군,전기,사업용,29,0,17,0,46
강원,원주시,전기,비사업용,3301,8,1017,5,4331
강원,원주시,전기,사업용,705,5,138,0,848
강원,인제군,전기,비사업용,268,3,103,1,375
강원,인제군,전기,사업용,30,1,12,0,43
강원,정선군,전기,비사업용,200,0,109,4,313
강원,정선군,전기,사업용,2,12,27,0,41
강원,철원군,전기,비사업용,213,13,279,0,505
강원,철원군,전기,사업용,15,0,21,0,36
강원,춘천시,전기,비사업용,2687,15,1130,3,3835
강원,춘천시,전기,사업용,617,91,258,0,966
강원,태백시,전기,비사업용,215,0,124,4,343
강원,태백시,전기,사업용,47,4,26,0,77
강원,평창군,전기,비사업용,351,0,163,2,516
강원,평창군,전기,사업용,20,3,24,1,48
강원,홍천군,전기,비사업용,467,5,267,1,740
강원,홍천군,전기,사업용,6,7,28,0,41
강원,화천군,전기,비사업용,157,1,127,1,286
강원,화천군,전기,사업용,6,5,8,0,19
강원,횡성군,전기,비사업용,364,1,232,1,598
강원,횡성군,전기,사업용,87,7,6,0,100
경기,가평군,전기,비사업용,557,0,193,1,751
경기,가평군,전기,사업용,19,13,40,0,72
경기,고양시 덕양구,전기,비사업용,3432,3,694,4,4133
경기,고양시 덕양구,전기,사업용,221,163,272,0,656
경기,고양시 일산동구,전기,비사업용,2598,2,606,3,3209
경기,고양시 일산동구,전기,사업용,920,141,165,0,1226
경기,고양시 일산서구,전기,비사업용,1921,1,400,1,2323
경기,고양시 일산서구,전기,사업용,429,149,197,0,775
경기,과천시,전기,비사업용,1108,5,123,4,1240
경기,과천시,전기,사업용,72,30,20,0,122
경기,광명시,전기,비사업용,1668,1,323,0,1992
경기,광명시,전기,사업용,171,175,134,0,480
경기,광주시,전기,비사업용,3325,12,751,3,4091
경기,광주시,전기,사업용,51,208,330,0,589
경기,구리시,전기,비사업용,1108,1,214,3,1326
경기,구리시,전기,사업용,156,42,111,0,309
경기,군포시,전기,비사업용,1331,0,214,1,1546
경기,군포시,전기,사업용,108,96,155,0,359
경기,김포시,전기,비사업용,4805,31,1491,5,6332
경기,김포시,전기,사업용,640,288,617,0,1545
경기,남양주시,전기,비사업용,5721,8,1328,24,7081
경기,남양주시,전기,사업용,339,154,515,0,1008
경기,동두천시,전기,비사업용,469,0,216,0,685
경기,동두천시,전기,사업용,37,19,74,0,130
경기,부천시,전기,비사업용,1,0,0,0,1
경기,부천시,전기,사업용,0,0,0,0,0
경기,부천시 소사구,전기,비사업용,970,0,243,2,1215
경기,부천시 소사구,전기,사업용,650,52,122,0,824
경기,부천시 오정구,전기,비사업용,548,2,257,1,808
경기,부천시 오정구,전기,사업용,149,244,114,0,507
경기,부천시 원미구,전기,비사업용,1771,2,451,7,2231
경기,부천시 원미구,전기,사업용,310,205,190,0,705
경기,성남시 분당구,전기,비사업용,6132,0,231,1,6364
경기,성남시 분당구,전기,사업용,1450,356,67,0,1873
경기,성남시 수정구,전기,비사업용,1672,0,194,2,1868
경기,성남시 수정구,전기,사업용,131,57,117,0,305
경기,성남시 중원구,전기,비사업용,1238,0,200,1,1439
경기,성남시 중원구,전기,사업용,228,68,127,0,423
경기,수원시 권선구,전기,비사업용,3117,5,743,8,3873
경기,수원시 권선구,전기,사업용,413,209,176,0,798
경기,수원시 영통구,전기,비사업용,3841,1,187,3,4032
경기,수원시 영통구,전기,사업용,111,12,78,0,201
경기,수원시 장안구,전기,비사업용,1627,1,142,2,1772
경기,수원시 장안구,전기,사업용,104,330,91,0,525
경기,수원시 팔달구,전기,비사업용,1328,1,116,2,1447
경기,수원시 팔달구,전기,사업용,260,0,86,0,346
경기,시흥시,전기,비사업용,3469,6,938,4,4417
경기,시흥시,전기,사업용,147,32,345,0,524
경기,안산시 단원구,전기,비사업용,1946,8,666,0,2620
경기,안산시 단원구,전기,사업용,346,80,180,0,606
경기,안산시 상록구,전기,비사업용,1243,1,429,2,1675
경기,안산시 상록구,전기,사업용,450,1,203,0,654
경기,안성시,전기,비사업용,1516,1,676,5,2198
경기,안성시,전기,사업용,60,57,108,0,225
경기,안양시 동안구,전기,비사업용,2558,6,267,4,2835
경기,안양시 동안구,전기,사업용,321,32,96,1,450
경기,안양시 만안구,전기,비사업용,1172,0,206,2,1380
경기,안양시 만안구,전기,사업용,293,270,127,0,690
경기,양주시,전기,비사업용,2533,6,728,0,3267
경기,양주시,전기,사업용,172,68,310,0,550
경기,양평군,전기,비사업용,1452,3,438,2,1895
경기,양평군,전기,사업용,63,18,92,0,173
경기,여주시,전기,비사업용,1034,5,542,2,1583
경기,여주시,전기,사업용,38,8,71,0,117
경기,연천군,전기,비사업용,376,0,235,2,613
경기,연천군,전기,사업용,14,2,23,0,39
경기,오산시,전기,비사업용,1787,1,345,4,2137
경기,오산시,전기,사업용,85,104,135,0,324
경기,용인시 기흥구,전기,비사업용,5236,9,712,2,5959
경기,용인시 기흥구,전기,사업용,792,10,168,0,970
경기,용인시 수지구,전기,비사업용,4128,2,143,3,4276
경기,용인시 수지구,전기,사업용,97,0,67,0,164
경기,용인시 처인구,전기,비사업용,2881,43,711,7,3642
경기,용인시 처인구,전기,사업용,154,218,188,0,560
경기,의왕시,전기,비사업용,1354,0,169,1,1524
경기,의왕시,전기,사업용,107,48,85,0,240
경기,의정부시,전기,비사업용,2511,2,507,9,3029
경기,의정부시,전기,사업용,428,78,270,0,776
경기,이천시,전기,비사업용,1926,2,649,3,2580
경기,이천시,전기,사업용,25,20,154,0,199
경기,파주시,전기,비사업용,4298,7,1337,10,5652
경기,파주시,전기,사업용,68,248,444,0,760
경기,평택시,전기,비사업용,5076,4,1309,6,6395
경기,평택시,전기,사업용,227,164,312,0,703
경기,포천시,전기,비사업용,1021,0,710,0,1731
경기,포천시,전기,사업용,100,42,89,0,231
경기,하남시,전기,비사업용,3435,11,550,2,3998
경기,하남시,전기,사업용,85,92,253,0,430
경기,화성시,전기,비사업용,10846,16,1852,19,12733
경기,화성시,전기,사업용,442,292,464,0,1198
경남,거제시,전기,비사업용,1448,1,539,1,1989
경남,거제시,전기,사업용,98,31,97,0,226
경남,거창군,전기,비사업용,508,0,323,0,831
경남,거창군,전기,사업용,9,11,24,0,44
경남,고성군,전기,비사업용,353,4,320,2,679
경남,고성군,전기,사업용,15,2,24,0,41
경남,김해시,전기,비사업용,3567,2,1272,1,4842
경남,김해시,전기,사업용,261,87,226,0,574
경남,남해군,전기,비사업용,386,2,226,0,614
경남,남해군,전기,사업용,13,4,13,0,30
경남,밀양시,전기,비사업용,918,0,436,0,1354
경남,밀양시,전기,사업용,107,18,69,0,194
경남,사천시,전기,비사업용,808,1,313,1,1123
경남,사천시,전기,사업용,63,19,35,0,117
경남,산청군,전기,비사업용,402,0,292,0,694
경남,산청군,전기,사업용,6,1,18,0,25
경남,양산시,전기,비사업용,2920,11,1146,1,4078
경남,양산시,전기,사업용,201,114,305,0,620
경남,의령군,전기,비사업용,211,1,155,0,367
경남,의령군,전기,사업용,1,2,6,0,9
경남,진주시,전기,비사업용,3215,1,1412,3,4631
경남,진주시,전기,사업용,789,108,151,0,1048
경남,창녕군,전기,비사업용,512,3,334,0,849
경남,창녕군,전기,사업용,7,4,45,0,56
경남,창원시 마산합포구,전기,비사업용,3882,3,346,4,4235
경남,창원시 마산합포구,전기,사업용,132,197,73,0,402
경남,창원시 마산회원구,전기,비사업용,2329,0,384,2,2715
경남,창원시 마산회원구,전기,사업용,242,3,55,0,300
경남,창원시 성산구,전기,비사업용,3599,3,396,1,3999
경남,창원시 성산구,전기,사업용,1341,152,48,0,1541
경남,창원시 의창구,전기,비사업용,2320,0,658,1,2979
경남,창원시 의창구,전기,사업용,1391,0,101,0,1492
경남,창원시 진해구,전기,비사업용,1152,2,247,3,1404
경남,창원시 진해구,전기,사업용,53,26,58,0,137
경남,통영시,전기,비사업용,627,4,334,1,966
경남,통영시,전기,사업용,152,14,79,0,245
경남,하동군,전기,비사업용,338,7,373,0,718
경남,하동군,전기,사업용,8,6,4,0,18
경남,함안군,전기,비사업용,1117,0,383,0,1500
경남,함안군,전기,사업용,1058,4,13,0,1075
경남,함양군,전기,비사업용,258,1,169,0,428
경남,함양군,전기,사업용,201,5,16,0,222
경남,합천군,전기,비사업용,488,1,342,0,831
경남,합천군,전기,사업용,26,5,4,0,35
경북,경산시,전기,비사업용,2362,9,824,3,3198
경북,경산시,전기,사업용,121,25,236,0,382
경북,경주시,전기,비사업용,2331,11,968,2,3312
경북,경주시,전기,사업용,261,20,72,0,353
경북,고령군,전기,비사업용,374,0,357,3,734
경북,고령군,전기,사업용,0,1,17,0,18
경북,구미시,전기,비사업용,3016,3,1103,1,4123
경북,구미시,전기,사업용,319,0,236,0,555
경북,김천시,전기,비사업용,1247,4,820,2,2073
경북,김천시,전기,사업용,113,0,71,0,184
경북,문경시,전기,비사업용,461,1,335,2,799
경북,문경시,전기,사업용,19,6,26,0,51
경북,봉화군,전기,비사업용,187,0,153,0,340
경북,봉화군,전기,사업용,3,0,10,0,13
경북,상주시,전기,비사업용,701,0,707,2,1410
경북,상주시,전기,사업용,56,11,24,0,91
경북,성주군,전기,비사업용,576,4,768,1,1349
경북,성주군,전기,사업용,3,7,13,0,23
경북,안동시,전기,비사업용,1270,0,619,2,1891
경북,안동시,전기,사업용,127,14,43,0,184
경북,영덕군,전기,비사업용,250,0,177,0,427
경북,영덕군,전기,사업용,4,0,19,0,23
경북,영양군,전기,비사업용,123,0,62,0,185
경북,영양군,전기,사업용,1,3,8,0,12
경북,영주시,전기,비사업용,652,2,458,2,1114
경북,영주시,전기,사업용,59,2,47,0,108
경북,영천시,전기,비사업용,876,0,630,2,1508
경북,영천시,전기,사업용,42,24,63,0,129
경북,예천군,전기,비사업용,515,0,309,1,825
경북,예천군,전기,사업용,13,2,27,0,42
경북,울릉군,전기,비사업용,515,0,113,1,629
경북,울릉군,전기,사업용,6,0,2,0,8
경북,울진군,전기,비사업용,404,4,168,2,578
경북,울진군,전기,사업용,8,4,15,0,27
경북,의성군,전기,비사업용,369,0,277,2,648
경북,의성군,전기,사업용,3,0,17,0,20
경북,청도군,전기,비사업용,453,4,228,2,687
경북,청도군,전기,사업용,13,7,14,0,34
경북,청송군,전기,비사업용,198,0,189,0,387
경북,청송군,전기,사업용,4,6,20,0,30
경북,칠곡군,전기,비사업용,888,2,536,2,1428
경북,칠곡군,전기,사업용,53,0,80,0,133
경북,포항시 남구,전기,비사업용,1681,1,659,1,2342
경북,포항시 남구,전기,사업용,197,123,51,0,371
경북,포항시 북구,전기,비사업용,2541,5,782,3,3331
경북,포항시 북구,전기,사업용,276,0,89,0,365
광주,광산구,전기,비사업용,2943,3,1031,2,3979
광주,광산구,전기,사업용,361,16,249,0,626
광주,남구,전기,비사업용,1703,1,257,0,1961
광주,남구,전기,사업용,95,14,76,0,185
광주,동구,전기,비사업용,959,0,99,2,1060
광주,동구,전기,사업용,69,7,38,0,114
광주,북구,전기,비사업용,2915,3,641,0,3559
광주,북구,전기,사업용,806,25,215,0,1046
광주,서구,전기,비사업용,2307,1,528,2,2838
광주,서구,전기,사업용,210,1,272,0,483
대구,군위군,전기,비사업용,232,0,149,0,381
대구,군위군,전기,사업용,25,0,8,0,33
대구,남구,전기,비사업용,822,3,172,1,998
대구,남구,전기,사업용,131,0,79,0,210
대구,달서구,전기,비사업용,4771,21,1190,3,5985
대구,달서구,전기,사업용,1029,18,306,0,1353
대구,달성군,전기,비사업용,2870,12,878,3,3763
대구,달성군,전기,사업용,334,21,240,0,595
대구,동구,전기,비사업용,3052,2,727,2,3783
대구,동구,전기,사업용,1133,26,201,0,1360
대구,북구,전기,비사업용,3381,5,1192,2,4580
대구,북구,전기,사업용,537,25,289,0,851
대구,서구,전기,비사업용,898,2,353,0,1253
대구,서구,전기,사업용,444,0,106,0,550
대구,수성구,전기,비사업용,6486,2,566,2,7056
대구,수성구,전기,사업용,550,7,155,0,712
대구,중구,전기,비사업용,1771,0,202,4,1977
대구,중구,전기,사업용,310,0,26,0,336
대전,대덕구,전기,비사업용,1191,0,620,2,1813
대전,대덕구,전기,사업용,399,60,107,0,566
대전,동구,전기,비사업용,1491,2,485,2,1980
대전,동구,전기,사업용,377,6,163,0,546
대전,서구,전기,비사업용,4285,7,813,1,5106
대전,서구,전기,사업용,2861,0,269,0,3130
대전,유성구,전기,비사업용,4991,9,753,0,5753
대전,유성구,전기,사업용,244,47,179,0,470
대전,중구,전기,비사업용,1462,2,470,0,1934
대전,중구,전기,사업용,448,23,151,0,622
부산,강서구,전기,비사업용,1638,2,1017,1,2658
부산,강서구,전기,사업용,682,25,140,0,847
부산,금정구,전기,비사업용,1028,12,340,0,1380
부산,금정구,전기,사업용,639,137,76,0,852
부산,기장군,전기,비사업용,1752,0,477,2,2231
부산,기장군,전기,사업용,152,136,160,0,448
부산,남구,전기,비사업용,1423,0,307,2,1732
부산,남구,전기,사업용,290,113,147,0,550
부산,동구,전기,비사업용,2708,2,107,0,2817
부산,동구,전기,사업용,744,0,43,0,787
부산,동래구,전기,비사업용,1498,1,376,1,1876
부산,동래구,전기,사업용,560,25,103,0,688
부산,부산진구,전기,비사업용,2724,0,537,1,3262
부산,부산진구,전기,사업용,961,22,161,0,1144
부산,북구,전기,비사업용,1113,2,444,1,1560
부산,북구,전기,사업용,296,41,114,0,451
부산,사상구,전기,비사업용,765,1,629,1,1396
부산,사상구,전기,사업용,358,13,107,0,478
부산,사하구,전기,비사업용,977,11,495,1,1484
부산,사하구,전기,사업용,405,14,138,0,557
부산,서구,전기,비사업용,388,1,111,0,500
부산,서구,전기,사업용,51,0,41,0,92
부산,수영구,전기,비사업용,1068,1,212,3,1284
부산,수영구,전기,사업용,2433,73,81,0,2587
부산,연제구,전기,비사업용,4886,1,343,0,5230
부산,연제구,전기,사업용,912,30,74,0,1016
부산,영도구,전기,비사업용,290,0,121,0,411
부산,영도구,전기,사업용,298,108,40,0,446
부산,중구,전기,비사업용,2699,0,45,0,2744
부산,중구,전기,사업용,13,0,15,0,28
부산,해운대구,전기,비사업용,3861,1,421,1,4284
부산,해운대구,전기,사업용,473,26,149,0,648
서울,강남구,전기,비사업용,7205,15,409,4,7633
서울,강남구,전기,사업용,6325,9,150,0,6484
서울,강동구,전기,비사업용,2901,8,299,2,3210
서울,강동구,전기,사업용,661,73,202,1,937
서울,강북구,전기,비사업용,742,31,164,1,938
서울,강북구,전기,사업용,266,144,120,0,530
서울,강서구,전기,비사업용,2854,9,387,2,3252
서울,강서구,전기,사업용,706,97,335,0,1138
서울,관악구,전기,비사업용,1360,3,192,1,1556
서울,관악구,전기,사업용,358,105,234,0,697
서울,광진구,전기,비사업용,1297,5,150,3,1455
서울,광진구,전기,사업용,188,18,90,0,296
서울,구로구,전기,비사업용,1667,3,290,2,1962
서울,구로구,전기,사업용,3439,115,174,0,3728
서울,금천구,전기,비사업용,1067,2,231,3,1303
서울,금천구,전기,사업용,186,38,169,0,393
서울,노원구,전기,비사업용,1622,5,258,4,1889
서울,노원구,전기,사업용,688,91,174,0,953
서울,도봉구,전기,비사업용,908,2,230,7,1147
서울,도봉구,전기,사업용,552,139,153,0,844
서울,동대문구,전기,비사업용,1417,4,245,1,1667
서울,동대문구,전기,사업용,230,0,150,0,380
서울,동작구,전기,비사업용,1699,1,156,2,1858
서울,동작구,전기,사업용,133,13,92,0,238
서울,마포구,전기,비사업용,2090,7,411,4,2512
서울,마포구,전기,사업용,228,127,121,0,476
서울,서대문구,전기,비사업용,1416,13,140,2,1571
서울,서대문구,전기,사업용,297,109,85,0,491
서울,서초구,전기,비사업용,6139,5,358,6,6508
서울,서초구,전기,사업용,417,57,230,0,704
서울,성동구,전기,비사업용,2149,5,270,2,2426
서울,성동구,전기,사업용,559,185,92,0,836
서울,성북구,전기,비사업용,1828,5,197,2,2032
서울,성북구,전기,사업용,247,158,137,0,542
서울,송파구,전기,비사업용,4328,11,382,7,4728
서울,송파구,전기,사업용,570,97,247,0,914
서울,양천구,전기,비사업용,1911,4,261,1,2177
서울,양천구,전기,사업용,331,156,259,0,746
서울,영등포구,전기,비사업용,2347,4,363,4,2718
서울,영등포구,전기,사업용,330,16,238,0,584
서울,용산구,전기,비사업용,1692,9,184,2,1887
서울,용산구,전기,사업용,66,0,66,0,132
서울,은평구,전기,비사업용,1618,5,255,4,1882
서울,은평구,전기,사업용,450,190,230,0,870
서울,종로구,전기,비사업용,1209,0,160,6,1375
서울,종로구,전기,사업용,23,36,143,0,202
서울,중구,전기,비사업용,1421,8,108,2,1539
서울,중구,전기,사업용,359,1,80,0,440
서울,중랑구,전기,비사업용,1275,3,242,3,1523
서울,중랑구,전기,사업용,680,109,212,0,1001
세종,세종특별자치시,전기,비사업용,4858,10,401,6,5275
세종,세종특별자치시,전기,사업용,213,139,140,0,492
울산,남구,전기,비사업용,1630,1,622,0,2253
울산,남구,전기,사업용,373,2,93,0,468
울산,동구,전기,비사업용,472,1,129,1,603
울산,동구,전기,사업용,140,5,44,0,189
울산,북구,전기,비사업용,1296,6,496,2,1800
울산,북구,전기,사업용,234,17,103,0,354
울산,울주군,전기,비사업용,1729,6,785,3,2523
울산,울주군,전기,사업용,250,61,83,0,394
울산,중구,전기,비사업용,1049,2,363,2,1416
울산,중구,전기,사업용,180,0,66,0,246
인천,강화군,전기,비사업용,703,1,572,2,1278
인천,강화군,전기,사업용,1364,24,67,0,1455
인천,계양구,전기,비사업용,1342,1,1003,6,2352
인천,계양구,전기,사업용,12379,0,244,0,12623
인천,남동구,전기,비사업용,6163,2,885,6,7056
인천,남동구,전기,사업용,1204,34,333,0,1571
인천,동구,전기,비사업용,277,0,91,2,370
인천,동구,전기,사업용,97,0,66,0,163
인천,미추홀구,전기,비사업용,2054,0,508,3,2565
인천,미추홀구,전기,사업용,1739,0,352,0,2091
인천,부평구,전기,비사업용,3145,0,497,3,3645
인천,부평구,전기,사업용,1221,42,347,0,1610
인천,서구,전기,비사업용,6644,11,1269,4,7928
인천,서구,전기,사업용,578,124,548,0,1250
인천,연수구,전기,비사업용,7991,7,483,3,8484
인천,연수구,전기,사업용,472,105,211,0,788
인천,옹진군,전기,비사업용,139,0,63,0,202
인천,옹진군,전기,사업용,4,2,8,0,14
인천,중구,전기,비사업용,2388,7,294,2,2691
인천,중구,전기,사업용,88,73,169,0,330
전남,강진군,전기,비사업용,278,4,162,1,445
전남,강진군,전기,사업용,6,0,6,0,12
전남,고흥군,전기,비사업용,424,1,258,2,685
전남,고흥군,전기,사업용,3,5,5,0,13
전남,곡성군,전기,비사업용,287,7,193,0,487
전남,곡성군,전기,사업용,1,4,10,0,15
전남,광양시,전기,비사업용,2092,5,700,4,2801
전남,광양시,전기,사업용,109,43,40,0,192
전남,구례군,전기,비사업용,237,5,77,0,319
전남,구례군,전기,사업용,12,0,2,0,14
전남,나주시,전기,비사업용,1793,9,542,0,2344
전남,나주시,전기,사업용,34,24,42,0,100
전남,담양군,전기,비사업용,607,0,280,0,887
전남,담양군,전기,사업용,27,4,39,0,70
전남,목포시,전기,비사업용,1026,0,249,1,1276
전남,목포시,전기,사업용,249,11,44,10,314
전남,무안군,전기,비사업용,996,3,270,0,1269
전남,무안군,전기,사업용,32,0,21,0,53
전남,보성군,전기,비사업용,338,7,154,0,499
전남,보성군,전기,사업용,16,5,2,0,23
전남,순천시,전기,비사업용,3038,6,636,0,3680
전남,순천시,전기,사업용,178,12,85,0,275
전남,신안군,전기,비사업용,286,2,232,0,520
전남,신안군,전기,사업용,7071,22,15,0,7108
전남,여수시,전기,비사업용,2180,6,791,1,2978
전남,여수시,전기,사업용,313,18,145,0,476
전남,영광군,전기,비사업용,943,3,291,0,1237
전남,영광군,전기,사업용,16,15,16,0,47
전남,영암군,전기,비사업용,517,5,346,1,869
전남,영암군,전기,사업용,6,2,9,0,17
전남,완도군,전기,비사업용,253,5,201,1,460
전남,완도군,전기,사업용,7,1,15,0,23
전남,장성군,전기,비사업용,441,1,292,1,735
전남,장성군,전기,사업용,4,2,12,0,18
전남,장흥군,전기,비사업용,314,4,132,1,451
전남,장흥군,전기,사업용,25,0,10,0,35
전남,진도군,전기,비사업용,234,3,153,1,391
전남,진도군,전기,사업용,8,0,8,0,16
전남,함평군,전기,비사업용,339,3,167,1,510
전남,함평군,전기,사업용,220,0,12,0,232
전남,해남군,전기,비사업용,439,10,356,0,805
전남,해남군,전기,사업용,155,4,17,0,176
전남,화순군,전기,비사업용,441,2,217,0,660
전남,화순군,전기,사업용,11,19,9,0,39
전북,고창군,전기,비사업용,466,5,283,0,754
전북,고창군,전기,사업용,9,0,9,0,18
전북,군산시,전기,비사업용,2355,8,1195,10,3568
전북,군산시,전기,사업용,368,74,220,0,662
전북,김제시,전기,비사업용,742,5,628,2,1377
전북,김제시,전기,사업용,55,0,43,0,98
전북,남원시,전기,비사업용,750,6,640,1,1397
전북,남원시,전기,사업용,25,1,45,0,71
전북,무주군,전기,비사업용,242,4,123,0,369
전북,무주군,전기,사업용,6,0,5,0,11
전북,부안군,전기,비사업용,368,2,287,0,657
전북,부안군,전기,사업용,5,0,6,0,11
전북,순창군,전기,비사업용,215,4,125,1,345
전북,순창군,전기,사업용,11,0,5,0,16
전북,완주군,전기,비사업용,954,5,313,1,1273
전북,완주군,전기,사업용,40,0,40,0,80
전북,익산시,전기,비사업용,2257,7,1339,4,3607
전북,익산시,전기,사업용,286,28,152,0,466
전북,임실군,전기,비사업용,230,10,177,0,417
전북,임실군,전기,사업용,5,0,7,0,12
전북,장수군,전기,비사업용,211,1,176,1,389
전북,장수군,전기,사업용,3,0,20,0,23
전북,전주시 덕진구,전기,비사업용,2930,4,824,3,3761
전북,전주시 덕진구,전기,사업용,541,18,195,0,754
전북,전주시 완산구,전기,비사업용,2456,2,606,2,3066
전북,전주시 완산구,전기,사업용,365,25,207,0,597
전북,정읍시,전기,비사업용,1008,4,726,1,1739
전북,정읍시,전기,사업용,58,4,60,0,122
전북,진안군,전기,비사업용,267,2,141,1,411
전북,진안군,전기,사업용,7,0,5,0,12
제주,서귀포시,전기,비사업용,6954,10,3192,3,10159
제주,서귀포시,전기,사업용,446,58,183,0,687
제주,제주시,전기,비사업용,22688,32,5962,15,28697
제주,제주시,전기,사업용,10588,202,528,23,11341
충남,계룡시,전기,비사업용,684,0,147,0,831
충남,계룡시,전기,사업용,5,15,42,0,62
충남,공주시,전기,비사업용,1085,1,465,2,1553
충남,공주시,전기,사업용,65,14,26,0,105
충남,금산군,전기,비사업용,497,0,294,1,792
충남,금산군,전기,사업용,33,0,28,0,61
충남,논산시,전기,비사업용,926,0,762,0,1688
충남,논산시,전기,사업용,18,16,39,0,73
충남,당진시,전기,비사업용,2410,3,812,0,3225
충남,당진시,전기,사업용,60,28,62,0,150
충남,보령시,전기,비사업용,713,7,644,3,1367
충남,보령시,전기,사업용,31,15,30,0,76
충남,부여군,전기,비사업용,567,4,511,1,1083
충남,부여군,전기,사업용,15,4,39,0,58
충남,서산시,전기,비사업용,1976,3,693,3,2675
충남,서산시,전기,사업용,155,20,82,0,257
충남,서천군,전기,비사업용,387,0,425,0,812
충남,서천군,전기,사업용,12,1,16,0,29
충남,아산시,전기,비사업용,3945,6,1032,6,4989
충남,아산시,전기,사업용,226,55,226,0,507
충남,예산군,전기,비사업용,914,0,633,0,1547
충남,예산군,전기,사업용,14,1,38,0,53
충남,천안시 동남구,전기,비사업용,2102,0,732,2,2836
충남,천안시 동남구,전기,사업용,254,1,120,5,380
충남,천안시 서북구,전기,비사업용,3701,1,822,3,4527
충남,천안시 서북구,전기,사업용,226,128,129,0,483
충남,청양군,전기,비사업용,284,0,158,1,443
충남,청양군,전기,사업용,5,0,17,0,22
충남,태안군,전기,비사업용,493,1,414,2,910
충남,태안군,전기,사업용,3,0,23,0,26
충남,홍성군,전기,비사업용,946,2,471,5,1424
충남,홍성군,전기,사업용,26,10,30,4,70
충북,괴산군,전기,비사업용,413,2,221,0,636
충북,괴산군,전기,사업용,8,0,19,0,27
충북,단양군,전기,비사업용,330,1,155,0,486
충북,단양군,전기,사업용,10,0,24,0,34
충북,보은군,전기,비사업용,328,6,295,0,629
충북,보은군,전기,사업용,14,1,17,0,32
충북,영동군,전기,비사업용,398,1,483,1,883
충북,영동군,전기,사업용,35,1,18,0,54
충북,옥천군,전기,비사업용,476,0,324,0,800
충북,옥천군,전기,사업용,17,0,44,0,61
충북,음성군,전기,비사업용,891,2,420,3,1316
충북,음성군,전기,사업용,11,1,45,0,57
충북,제천시,전기,비사업용,1404,5,672,3,2084
충북,제천시,전기,사업용,133,3,102,0,238
충북,증평군,전기,비사업용,295,0,85,1,381
충북,증평군,전기,사업용,8,0,18,0,26
충북,진천군,전기,비사업용,1068,1,427,1,1497
충북,진천군,전기,사업용,23,2,56,0,81
충북,청주시 상당구,전기,비사업용,2078,1,503,2,2584
충북,청주시 상당구,전기,사업용,216,58,131,0,405
충북,청주시 서원구,전기,비사업용,1891,2,457,1,2351
충북,청주시 서원구,전기,사업용,230,62,95,0,387
충북,청주시 청원구,전기,비사업용,2063,3,676,2,2744
충북,청주시 청원구,전기,사업용,192,19,113,0,324
충북,청주시 흥덕구,전기,비사업용,3451,6,766,2,4225
충북,청주시 흥덕구,전기,사업용,521,49,189,0,759
충북,충주시,전기,비사업용,2393,6,941,2,3342
충북,충주시,전기,사업용,301,17,142,0,460
